2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 15:25:02.803089	http://proex.ufop.br/programas/opcod3rs-pensamento-computacional-e-reciclagem-de-computadores-como-apoio-ao-processo-ensino-aprendizagem/pensamento-computacional-para-o-ensino-fundamental-i	67,64	18	60	6	51	1	5	6	2	1	0	0	0	4	2	
2023-08-05 15:25:02.804087	https://vestibular.ufop.br/index.php?option=com_content&view=category&id=41&Itemid=139	84,89	5	20	4	17	1	1	0	2	0	0	0	0	0	0	
2023-08-05 15:25:02.813088	http://www.processoseletivo.ufop.br/index.php?option=com_content&view=category&id=167&Itemid=139	84,89	5	20	4	17	1	1	0	2	0	0	0	0	0	0	
2023-08-05 15:25:02.805084	https://propp.ufop.br/en/journal-databases-repository-and-publisher	75,29	23	65	7	51	1	2	11	10	0	0	0	0	4	2	
2023-08-05 15:25:02.806087	http://www.cead.ufop.br/index.php/matematica?id=145	73,02	55	160	18	146	0	8	36	6	1	0	0	0	0	0	
2023-08-05 15:25:02.814088	https://dri.ufop.br/see/1000-programa-epos-concede-bolsas-na-area-de-desenvolvimento-sustentavel	77,36	24	119	7	110	0	4	16	2	1	0	0	0	0	3	
2023-08-05 15:25:34.072376	https://siass.ufop.br/como-participar	86,59	14	31	6	22	1	3	7	6	0	0	0	0	0	0	
2023-08-05 15:25:43.273577	http://www.caint.ufop.br/see/1411-universidad-antonio-narino-da-colombia-convida-para-programa-internacional-cultural-colombia-in-every-sense	77,36	23	115	7	106	0	4	15	2	1	0	0	0	0	3	
2023-08-05 15:25:02.806087	http://www2.decom.ufop.br/imobilis/android-wear-arquitetura-e-conceitos-basicos/#respond	80,43	77	191	13	160	1	13	62	17	0	0	0	0	1	1	
2023-08-05 15:25:46.571183	https://caint.ufop.br/regulamentos	77,13	35	130	13	120	0	4	21	3	1	0	0	0	0	3	
2023-08-05 15:25:35.807250	https://www.propec.ufop.br/noticia/161/novo-contrato-entre-a-samarco-e-a-unidade-embrapii-em-mineracao-sustentavel-da-ufop	70,15	128	321	26	315	1	2	100	4	1	0	0	0	0	0	
2023-08-05 15:25:02.808088	http://www.dri.ufop.br/read/1714-universidade-francesa-oferece-vagas-de-estagio-remunerado-para-estudantes-de-mestrado	77,29	26	129	7	116	0	6	18	4	1	0	0	0	0	3	
2023-08-05 15:25:02.807085	https://culturafotograficaufop.blogspot.com/search/label/v%C3%ADdeo-ensaio	79,27	28	166	5	148	1	5	21	12	0	0	0	0	1	1	
2023-08-05 15:26:02.752671	https://www.prace.ufop.br/assistencia-estudantil/moradia-estudantil/modalidade-de-gestao-compartilhada/quarto-crescente	71,96	18	78	7	64	1	4	6	8	0	0	0	0	4	2	
2023-08-05 15:25:33.723573	http://www.dri.ufop.br/en/read/865-former-student-of-ufop-is-featured-in-international-theater-festivals	83,52	15	81	5	72	0	4	9	2	1	0	0	0	0	3	
2023-08-05 15:26:04.433032	https://fimat.ufop.br/publications/evaluation-activity-and-selectivity-mesoporous-composites-mcm-41-and-cuo-co2	72,4	42	76	20	44	2	5	19	27	1	0	0	0	0	0	
2023-08-05 15:25:41.145349	http://dri.ufop.br/en/read/835-confap-promotes-exchange-of-researchers-from-the-areas-of-social-sciences-and-humanities	83,67	14	81	5	72	0	4	8	2	1	0	0	0	0	3	
2023-08-05 15:26:06.352276	http://dri.ufop.br/see/1513-abertas-as-inscricoes-para-a-2-edicao-do-curso-de-introducao-a-cultura-chinesa-do-gcub	77,33	24	144	8	133	0	4	15	4	1	0	0	0	0	3	
2023-08-05 15:26:36.327161	https://zeppelin10.ufop.br/SistemaAcademico/MatrizCurricular?codCurso=CBL	86,07	4	2	3	2	0	0	1	0	0	0	0	0	0	0	
2023-08-05 15:26:19.995904	https://www.vestibular.ufop.br/index.php?option=com_content&view=category&id=227&Itemid=215&limitstart=0	87,32	6	24	4	19	1	1	1	3	0	0	0	0	0	1	
2023-08-05 15:26:27.608127	http://www.prace.ufop.br/assistencia-estudantil/moradia-estudantil/modalidade-de-gestao-compartilhada/tigrada	71,96	18	76	7	61	1	4	6	9	0	0	0	0	4	2	
2023-08-05 15:26:14.065204	https://fisica.ufop.br/people/hermano-endlich-schneider-velten	86,04	9	35	4	28	1	5	4	2	0	0	0	0	0	0	
2023-08-05 15:26:15.624615	http://www2.decom.ufop.br/imobilis/projetos/uguide/#respond	80,13	64	187	8	156	1	13	54	15	0	0	0	2	1	1	
2023-08-05 15:26:12.507502	https://csu.dof.ufop.br/chamadas-p%C3%BAblicas	88,08	11	64	5	50	1	3	5	10	0	0	0	0	0	1	
2023-08-05 15:26:12.730107	http://www.escoladefarmacia.ufop.br	79,94	35	490	10	480	1	3	23	7	1	0	0	0	0	0	
2023-08-05 15:26:39.804537	http://www.prace.ufop.br/	63,12	40	90	4	66	1	4	30	18	1	0	0	0	4	2	
2023-08-05 15:26:38.385227	https://debio.ufop.br/laborat%C3%B3rio-did%C3%A1tico-de-educa%C3%A7%C3%A3o	86,9	10	39	3	32	1	3	6	4	0	0	0	0	0	0	
2023-08-05 15:26:21.679700	https://fisica.ufop.br/classes/disciplinas-da-licenciatura/per%C3%ADodo-5	86,12	11	44	7	34	1	4	3	6	0	0	0	0	0	0	
2023-08-05 15:26:44.166776	https://www.prace.ufop.br/assistencia-estudantil/moradia-estudantil/modalidade-de-gestao-compartilhada/castelo-dos-nobres	71,96	18	74	7	59	1	4	6	9	0	0	0	0	4	2	
2023-08-05 15:26:44.519029	http://www.caint.ufop.br/see/1303-universidad-antonio-narino-abre-inscricoes-para-programa-de-imersao-cultural-virtual	77,36	23	101	7	92	0	4	15	2	1	0	0	0	0	3	
2023-08-05 15:26:51.139600	http://www.cead.ufop.br/index.php/o-cead/detec/41-lista-de-docentes/154-profa-janete-flor-de-maio-fonseca	56,5	68	162	22	147	8	8	37	7	1	0	0	0	0	0	
2023-08-05 15:26:57.868605	http://proex.ufop.br/programas/opcod3rs-pensamento-computacional-e-reciclagem-de-computadores-como-apoio-ao-processo-ensino-aprendizagem	63,18	19	80	7	71	1	5	6	2	1	0	0	0	4	2	
2023-08-05 15:26:57.592995	https://gecon.ufop.br/	82,29	23	85	5	70	1	3	16	11	1	0	0	0	0	1	
2023-08-05 15:27:02.826911	https://propp.ufop.br/en/node/41	63,21	22	54	6	44	1	2	10	6	1	0	0	0	4	2	
2023-08-05 15:27:05.013837	https://debio.ufop.br/people/paula-stockler-barbosa	86,84	8	37	4	29	1	4	3	4	0	0	0	0	0	0	
