2023-08-05 12:13:12.653825	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 12:13:12.664826	https://periodicos.ufop.br/rest/article/view/3424/2687	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:13:12.669827	http://www2.decom.ufop.br/terralab/tipos-de-aprendizado-de-maquina-e-algumas-aplicacoes/	86,07	4	2	3	2	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:13:12.661827	http://www.editora.ufop.br/index.php/editora/catalog/book/99	89,74	12	25	9	15	1	3	1	6	0	0	0	0	1	1	
2023-08-05 12:13:12.661827	https://moodle.aberta.ufop.br/enrol/index.php?id=16&lang=en	80,14	18	66	6	50	1	8	10	4	1	0	0	0	0	4	
2023-08-05 12:13:12.662826	https://periodicos.ufop.br/rest/article/view/3316	85,6	6	10	4	4	1	1	0	4	0	0	0	0	1	1	
2023-08-05 12:13:44.339955	https://github.com/ufopcsilab/covid-19/forks?include=active%2Carchived&page=1&period=6mo&sort_by=stargazer_counts	85,95	14	283	8	273	1	1	4	6	0	0	0	0	1	3	
2023-08-05 12:13:42.283698	https://sites.ufop.br/cofis/aacc	86,72	7	26	6	21	1	3	0	2	0	0	0	0	0	0	
2023-08-05 12:13:38.418609	https://prace.ufop.br/projeto-inclusao-digital-pid-0	71,95	19	70	7	56	1	4	7	8	0	0	0	0	4	2	
2023-08-05 12:13:50.038392	https://web.archive.org/web/20171223192202/http://posdefil.ufop.br/	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:13:43.900181	https://polosdecinema.ufop.br/blog/archive/all/202206?type=month&month=2023-07&page=1&mini=2023-10	82,52	17	91	14	78	1	5	2	8	0	0	0	0	0	0	
2023-08-05 12:13:49.459351	http://professor.ufop.br/jcsrocha/classes/f%C3%ADsica-iv	85,91	15	34	14	31	1	3	0	0	0	0	0	0	0	0	
2023-08-05 12:13:56.817197	https://periodicos.ufop.br/exagium/article/view/5919/4479	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:13:58.299189	https://periodicos.ufop.br/cadernosdehistoria/issue/view/322	89,87	20	11	3	4	1	1	15	5	0	0	0	0	1	1	
2023-08-05 12:13:42.828539	http://www2.decom.ufop.br/imobilis/page/33/?aam_media=5659	77,18	135	152	28	95	1	13	106	44	0	0	0	0	0	0	
2023-08-05 12:14:10.346266	http://www.proex.ufop.br/programas/atencao-integral-em-doencas-infecciosas	63,18	19	69	7	60	1	5	6	2	1	0	0	0	4	2	
2023-08-05 12:14:42.692552	https://github.com/ufopcsilab/qrs-better-heartbeat-segmentation/forks?include=active%2Cnetwork&page=1&period=2y&sort_by=open_pull_request_counts	85,95	14	283	8	273	1	1	4	6	0	0	0	0	1	3	
2023-08-05 12:14:44.663084	https://periodicos.ufop.br/redumat/login	79,78	11	11	5	5	1	1	0	4	0	0	0	0	5	1	
2023-08-05 12:14:47.300756	https://www.propec.ufop.br/localizacao	83,61	67	233	6	229	1	2	60	2	0	0	0	0	0	0	
2023-08-05 12:14:50.439957	https://periodicos.ufop.br/rest/article/view/3393	90,07	5	11	3	5	1	1	0	4	0	0	0	0	1	1	
2023-08-05 12:14:54.218990	https://periodicos.ufop.br/rest/article/view/3182/2449	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:14:58.664950	https://github.com/ufopcsilab/qrs-better-heartbeat-segmentation/forks?include=active%2Cnetwork%2Cstarred&page=1&period=2y&sort_by=open_pull_request_counts	85,95	14	283	8	273	1	1	4	6	0	0	0	0	1	3	
2023-08-05 12:14:46.677403	https://polosdecinema.ufop.br/deolhosabertos?type=month&month=2023-07&mini=2023-02	82,58	20	394	15	374	1	5	4	15	0	0	0	0	0	0	
2023-08-05 12:14:46.468459	https://proamb.ufop.br/news/archive/2022-12?page=3	87,74	28	64	23	54	1	5	4	5	0	0	0	0	0	0	
2023-08-05 12:15:04.038096	https://periodicos.ufop.br/rest/article/view/3496/2759	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:15:04.607640	https://sigaa.ufopa.edu.br/sigaa/public/docente/extensao.jsf?siape=1524433	69,5	11	29	4	14	1	8	5	3	1	0	0	0	0	4	
2023-08-05 12:15:10.498342	https://periodicos.ufop.br/rmat/article/view/4845	85,6	8	23	6	15	1	1	0	6	0	0	0	0	1	1	
2023-08-05 12:15:15.340726	http://www.prograd.ufop.br/estagios/artimus	71,17	17	80	4	65	1	5	8	8	0	0	0	0	4	2	
2023-08-05 12:15:16.931018	https://www.vestibular.ufop.br/index.php?option=com_content&view=article&id=170&catid=24&Itemid=139	89,28	5	25	4	22	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:15:09.456678	https://fisica.ufop.br/news/archive/2019-03?page=1	85,81	29	48	18	40	1	4	10	4	0	0	0	0	0	0	
2023-08-05 12:14:56.133029	https://cain.ufop.br/index.php?option=com_content&view=article&id=247&Itemid=355	91,03	13	104	8	91	0	7	5	6	0	0	0	0	0	0	
2023-08-05 12:15:28.670510	https://web.archive.org/web/20181019200607/https://www.propp.ufop.br/news	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:15:05.185149	http://www2.decom.ufop.br/imobilis/tag/gpio/	77,58	46	102	5	79	1	12	40	11	0	0	0	0	0	0	
2023-08-05 12:15:33.078966	https://web.archive.org/web/20180731131647/http://www.prograd.ufop.br/curso/enade	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:15:31.532049	https://github.com/ufopcsilab/projects/commit/a683429870ccda7f6707084dc3f223fe345b8ebb	87,43	16	452	10	438	1	1	4	7	0	0	0	0	1	6	
2023-08-05 12:15:34.502725	https://web.archive.org/web/20180726182201/http://nti.ufop.br/book/concursos-p%C3%BAblicos	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:15:37.939795	https://periodicos.ufop.br/libertas/citationstylelanguage/get/ieee?submissionId=300	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:15:09.166033	http://www2.decom.ufop.br/imobilis/tag/ios-api/	77,58	46	102	5	79	1	12	40	11	0	0	0	0	0	0	
2023-08-05 12:15:38.284609	https://periodicos.ufop.br/alemur/citationstylelanguage/get/associacao-brasileira-de-normas-tecnicas?submissionId=4187	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:15:39.746497	https://periodicos.ufop.br/revemop/citationstylelanguage/get/turabian-fullnote-bibliography?submissionId=1749	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:15:41.179952	https://github.com/ufopcsilab/ECGClassification/actions	81,86	13	241	7	231	1	1	4	6	0	0	0	0	1	3	
2023-08-05 12:15:45.208728	https://web.archive.org/web/20180714152741/http://www.prograd.ufop.br/processos-seletivos/reingresso-transferencia-pdg/10-registroacademicos/314-reingresso-transferencia-e-pdg-2015-2	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:15:24.133399	https://fisica.ufop.br/news/chamada-para-entrevista-bolsa-bdi-defis	82,43	51	87	18	78	1	4	32	5	0	0	0	0	0	0	
2023-08-05 12:15:23.243199	https://cipharma.ufop.br/news/archive/2020-06	81,04	31	74	23	53	1	4	7	17	0	0	0	0	0	0	
2023-08-05 12:15:55.593891	https://periodicos.ufop.br/cadernosdehistoria/article/view/5798	90,06	11	14	9	7	1	1	0	5	0	0	0	0	1	1	
2023-08-05 12:15:40.458996	https://lmic.degeo.ufop.br/agendamento	79,9	8	55	3	49	1	3	3	3	1	0	0	0	0	0	
2023-08-05 12:16:07.968713	https://web.archive.org/web/20180719032844/http://www.prograd.ufop.br/nap/docencia-no-ensino-superior	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:15:41.629366	https://farmaciadeouro.ufop.br/news/archive/2022-09?type=month&month=2023-07&page=2&mini=2023-08	83,73	18	86	14	71	1	4	2	10	1	0	0	0	0	1	
2023-08-05 12:16:15.765286	https://web.archive.org/web/20180719200041/http://escolha.ufop.br/por-que-ufop/estrutura	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:15:40.622335	https://iceb.ufop.br/home?type=month&month=2023-07&mini=2023-11	78,16	26	68	12	55	1	3	12	9	1	0	0	0	0	1	
2023-08-05 12:15:53.753952	https://farmaciadeouro.ufop.br/news/boletim-notifica%C3%A7%C3%B5es-farm%C3%A1cia-de-ouro-14%C2%AA-edi%C3%A7%C3%A3o?type=month&month=2023-07&page=1&mini=2023-06	80,29	20	88	14	71	1	4	4	12	1	0	0	0	0	1	
2023-08-05 12:16:20.318107	http://www.prograd.ufop.br/estagios/vagas?page=35	67,55	31	119	10	101	1	5	15	9	1	0	0	0	4	4	
2023-08-05 12:16:26.865793	https://sigaa.ufopa.edu.br/sigaa/public/centro/lista.jsf?aba=p-academico	74,33	49	124	4	79	1	21	44	23	0	0	0	0	0	1	
2023-08-05 12:16:27.797421	https://sigaa.ufopa.edu.br/sigaa/verTelaLogin.do?urlRedirect=/sigaa/biblioteca/circulacao/visualizaMeusEmprestimos.jsf&subsistemaRedirect=14000	61,89	14	60	4	39	1	10	6	10	1	0	0	0	2	1	
2023-08-05 12:16:07.736573	http://xr4goodlab.decom.ufop.br/?page_id=5615	76,1	18	208	11	190	1	8	4	8	0	0	0	0	2	2	
2023-08-05 12:15:49.389339	https://www.caint.ufop.br/en/read/901-ufop-signs-cooperation-agreement-with-the-pedagogical-and-technological-university-of-colombia	83,52	15	85	5	76	0	4	9	2	1	0	0	0	0	3	
2023-08-05 12:16:32.431486	https://web.archive.org/web/20190118165725/https://posdefil.ufop.br/news/resultado-preliminar-processo-seletivo-20182019?page=1	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:16:34.665972	https://cead.ufop.br/index.php/component/mailto/?tmpl=component&template=pjo_zonada_free&link=868ad6a11e72103ea705967568c0208e5cec1677	79,55	6	16	4	11	1	2	0	0	1	0	0	0	0	3	
2023-08-05 12:16:38.456471	https://periodicos.ufop.br/revemop/article/view/4671/3619	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:16:45.144021	https://periodicos.ufop.br/revemop/citationstylelanguage/get/turabian-fullnote-bibliography?submissionId=4878	86,07	4	0	3	0	0	0	1	0	0	0	0	0	0	0	
2023-08-05 12:16:25.661157	https://farmaciadeouro.ufop.br/news/boletim-notifica%C3%A7%C3%B5es-farm%C3%A1cia-de-ouro-14%C2%AA-edi%C3%A7%C3%A3o?type=month&month=2023-07&mini=2023-12&page=3	80,27	20	102	14	85	1	4	4	12	1	0	0	0	0	1	
2023-08-05 12:16:35.554808	https://proficam.ufop.br/	68,18	67	260	14	224	1	3	46	31	1	0	0	0	5	2	
2023-08-05 12:16:43.320305	https://github.com/ufopcsilab/EfficientCovidNet/tree/274b947ffe54a361b7cd364978afc0f329c637ca	80,76	20	411	13	399	1	1	5	8	0	0	0	0	1	3	
2023-08-05 12:16:12.585741	http://guiadocalouroufop.blogspot.com.br/p/cacom.html	74,99	28	218	11	203	2	7	14	8	1	0	0	0	0	0	
2023-08-05 12:16:27.371772	https://iceb.ufop.br/news/archive/2022-10?page=4	75,13	21	57	13	50	1	3	6	4	1	0	0	0	0	0	
2023-08-05 12:16:49.879914	https://conan.ufop.br/media-gallery/detail/13493/25513	80,13	8	53	4	42	1	3	2	8	1	0	0	0	0	0	
2023-08-05 12:16:36.417532	http://www2.decom.ufop.br/imobilis/tutorial-windows-phone-criando-componentes-visuais-no-windows-phone/#comments	80,29	66	240	8	208	1	13	56	18	0	0	0	0	1	1	
