link;porcentagem;totalErros;totalAvisos;marcacaoErros;marcacaoAvisos;comportamentoErros;comportamentoAvisos;conteudoInformacaoErros;conteudoInformacaoAvisos;apresentacaoDesignErros;apresentacaoDesignAvisos;multimidiaErros;multimidiaAvisos;formulariosErros;formulariosAvisos
https://periodicos.ufop.br/raf/article/view/1903;84.05%;9;26;4;9;1;3;3;13;0;0;0;0;1;1;
https://periodicos.ufop.br/alemur/citationstylelanguage/get/modern-language-association?submissionId=1367;86.07%;4;0;3;0;0;0;1;0;0;0;0;0;0;0;
https://periodicos.ufop.br/rest/article/view/3516;90.07%;5;11;3;5;1;1;0;4;0;0;0;0;1;1;
https://sigaa.ufopa.edu.br/sigaa/public/programa/apresentacao.jsf?lc=pt_BR&id=893;73.76%;20;36;8;29;1;3;11;4;0;0;0;0;0;0;
https://www.propp.ufop.br/pt-br/news/propp-divulga-resultados-parciais-dos-auxilios-financeiros-ao-pesquisador-e-publicacao;63.58%;17;56;5;46;1;2;6;6;1;0;0;0;4;2;
http://prograd.ufop.br/estagios/compasso-uol;69.64%;21;67;5;52;1;5;11;8;0;0;0;0;4;2;
http://www.ufopa.edu.br/montealegre/agenda-da-direcao/2021/julho/;92.8%;22;84;9;78;0;2;13;1;0;0;0;0;0;3;
http://www.ufopa.edu.br/ibef/institucional-1/documentos/portarias/2013/;91.41%;11;62;7;56;0;2;4;0;0;0;0;0;0;4;
https://periodicos.ufop.br/exagium/article/download/5866/4416/;86.07%;4;36;3;36;0;0;1;0;0;0;0;0;0;0;
https://periodicos.ufop.br/alemur/citationstylelanguage/get/harvard-cite-them-right?submissionId=4243;86.07%;4;0;3;0;0;0;1;0;0;0;0;0;0;0;
https://periodicos.ufop.br/alemur/article/download/4790/3792/;86.07%;4;7;3;7;0;0;1;0;0;0;0;0;0;0;
https://periodicos.ufop.br/alemur/article/download/1815/1435/;86.07%;4;14;3;14;0;0;1;0;0;0;0;0;0;0;
http://prace.ufop.br/local-republica/morro-do-cruzeiro?page=1;66.07%;19;134;7;114;1;4;6;14;1;0;0;0;4;2;
https://periodicos.ufop.br/libertas/citationstylelanguage/get/harvard-cite-them-right?submissionId=285;86.07%;4;0;3;0;0;0;1;0;0;0;0;0;0;0;
https://biomas.ufop.br/news/homologa%C3%A7%C3%A3o-das-inscri%C3%A7%C3%B5es-chamada-p%C3%BAblica-professor-visitante?page=1;76.54%;19;45;12;34;1;4;5;7;1;0;0;0;0;0;
https://www.nei.ufop.br/index.php?option=com_content&view=article&id=88&Itemid=297;91.03%;17;114;12;101;0;7;5;6;0;0;0;0;0;0;
http://www2.decom.ufop.br/imobilis/tag/atanim/;77.58%;46;102;5;79;1;12;40;11;0;0;0;0;0;0;
http://www.soc.ufop.br/public/resolucao/mostrar/0000012101;79.44%;14;14;5;12;1;0;6;1;0;0;0;0;2;1;
https://medicina.ufop.br/pos-graduacao?type=month&month=2023-07&mini=2023-05;80.12%;19;110;15;93;1;5;2;11;1;0;0;0;0;1;
http://www.edtm.ufop.br;82.05%;22;231;10;216;1;3;11;12;0;0;0;0;0;0;
https://posnutricao.ufop.br/news/calend%C3%A1rio-acad%C3%AAmico-da-p%C3%B3s-gradua%C3%A7%C3%A3o-da-ufop-20231?page=5;82.96%;6;40;4;31;1;4;0;4;1;0;0;0;0;1;
https://sigaa.ufopa.edu.br/sigaa/public/cadastro/discente.jsf;72.92%;20;71;3;40;2;15;4;2;0;0;0;0;11;14;
https://culturafotograficaufop.blogspot.com/search/label/Mario%20Cravo%20Neto;79.27%;28;173;5;146;1;5;21;21;0;0;0;0;1;1;
https://www.jornalismo.ufop.br/wp-admin/upload.php?item=2002;87.93%;5;22;4;15;1;6;0;0;0;0;0;0;0;1;
https://web.archive.org/web/20171222123604/http://defil.ifac.ufop.br/o-colegiado;81.98%;28;130;18;108;1;7;7;13;1;0;0;0;1;2;
https://culturafotograficaufop.blogspot.com/2023/02/paul-freeman.html;63.94%;65;279;27;246;2;6;34;26;1;0;0;0;1;1;
https://github.com/ufopcsilab/covid-19/issues?q=is%3Apr+is%3Aclosed+-label%3Abug+sort%3Areactions-smile-desc;84.92%;16;376;9;363;1;1;4;6;0;0;0;0;2;6;
https://periodicos.ufop.br/raf/article/view/695;88.51%;8;26;3;9;1;3;3;13;0;0;0;0;1;1;
https://farmaciadeouro.ufop.br/news/archive/2022-05?type=month&month=2023-07&mini=2023-04&page=1;83.73%;18;101;14;86;1;4;2;10;1;0;0;0;0;1;
http://dri.ufop.br/idiomas/parcerias/espanhol;77.37%;22;102;7;93;0;4;14;2;1;0;0;0;0;3;
https://periodicos.ufop.br/rest/article/download/3496/2759/;86.07%;4;17;3;17;0;0;1;0;0;0;0;0;0;0;
https://periodicos.ufop.br/libertas/citationstylelanguage/get/modern-language-association?submissionId=301;86.07%;4;0;3;0;0;0;1;0;0;0;0;0;0;0;
https://propp.ufop.br/en/node/527;63.58%;18;57;6;47;1;2;6;6;1;0;0;0;4;2;
https://github.com/ufopcsilab/projects/commit/16a3ffa201d5138ea6341c25fd544f75ffb1bc9f;87.43%;14;382;8;368;1;1;4;7;0;0;0;0;1;6;
https://enut.ufop.br/enade-2019;88.48%;7;79;4;68;1;4;2;7;0;0;0;0;0;0;
https://github.com/ufopcsilab/covid-19/forks?include=active%2Carchived&page=1&period=2y&sort_by=last_updated;85.95%;14;283;8;273;1;1;4;6;0;0;0;0;1;3;
https://icea.ufop.br/news/archive/2023-05?page=2;83.16%;14;62;7;53;1;4;5;4;1;0;0;0;0;1;
http://www.editora.ufop.br/index.php/editora/catalog/view/44/30/102-1;87.88%;5;7;4;6;1;1;0;0;0;0;0;0;0;0;
https://www.soc.ufop.br/public/resolucao/mostrar/0000012392;79.4%;15;15;5;13;1;0;7;1;0;0;0;0;2;1;
https://jornalismo.ufop.br/?page_id=198;80.34%;15;65;7;44;1;6;6;4;0;8;0;0;1;3;
https://periodicos.ufop.br/libertas/article/download/5/3059/;86.07%;4;14;3;14;0;0;1;0;0;0;0;0;0;0;
https://polosdecinema.ufop.br/mostra-abril-indigena?type=month&month=2023-07&page=2&mini=2023-08;82.58%;17;103;14;89;1;5;2;9;0;0;0;0;0;0;
http://www.processoseletivo.ufop.br/index.php?option=com_content&view=category&id=209&Itemid=139;91.01%;6;23;4;18;1;1;1;3;0;0;0;0;0;1;
https://nei.ufop.br/index.php?option=com_content&view=article&id=96&Itemid=339;84.86%;16;162;8;146;0;7;8;8;0;0;0;1;0;0;
https://redemat.ufop.br/news?page=3;80.32%;33;73;28;43;1;3;3;27;1;0;0;0;0;0;
https://www.propp.ufop.br/en/node/425;62.76%;24;68;8;58;1;2;10;6;1;0;0;0;4;2;
https://nano.ufop.br/publications/year/2023?page=0%2C0%2C0%2C0%2C0%2C1;84.74%;27;71;16;51;1;5;10;15;0;0;0;0;0;0;
http://issuu.com/aciufop/followers;85.88%;9;262;3;170;1;2;3;89;1;0;0;0;1;1;
https://www.soc.ufop.br/public/resolucao/mostrar/0000012215;79.41%;15;14;5;12;1;0;7;1;0;0;0;0;2;1;
https://www.soc.ufop.br/public/resolucao/mostrar/0000012435;79.4%;15;15;5;13;1;0;7;1;0;0;0;0;2;1;
https://nei.ufop.br/index.php?option=com_content&view=article&id=146:troca-de-experiencias-2&catid=17&Itemid=305;91.01%;15;121;9;107;0;7;6;7;0;0;0;0;0;0;
https://lph.ichs.ufop.br/media-gallery/detail/5958/11137;84.12%;19;57;12;38;1;5;6;13;0;0;0;0;0;1;
https://ppea.ufop.br/news/defesa-de-disserta%C3%A7%C3%A3o-2020-ppea-ufop-30062020;83.32%;15;66;12;51;1;3;1;11;1;0;0;0;0;1;
https://web.archive.org/web/20190106061831/http://propp.ufop.br/pesquisa/casa-do-pesquisador;71.35%;38;148;19;121;1;7;12;16;1;0;0;0;5;4;
https://periodicos.ufop.br/exagium/article/download/5885/4447/;86.07%;4;17;3;17;0;0;1;0;0;0;0;0;0;0;
https://decat.ufop.br/ufop;86.72%;7;33;6;24;1;3;0;6;0;0;0;0;0;0;
